# Athena++ data at time=2.500000e-01  cycle=350  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0086 -3.34961e-01  1.00000e+00  1.00000e+00  2.01157e-10  0.00000e+00  0.00000e+00
0087 -3.33008e-01  1.00000e+00  1.00000e+00  7.55867e-10  0.00000e+00  0.00000e+00
0088 -3.31055e-01  1.00000e+00  1.00000e+00  2.75760e-09  0.00000e+00  0.00000e+00
0089 -3.29102e-01  1.00000e+00  1.00000e+00  9.75193e-09  0.00000e+00  0.00000e+00
0090 -3.27148e-01  1.00000e+00  1.00000e+00  3.33667e-08  0.00000e+00  0.00000e+00
0091 -3.25195e-01  1.00000e+00  1.00000e+00  1.10219e-07  0.00000e+00  0.00000e+00
0092 -3.23242e-01  1.00000e+00  1.00000e+00  3.50623e-07  0.00000e+00  0.00000e+00
0093 -3.21289e-01  9.99999e-01  9.99999e-01  1.07106e-06  0.00000e+00  0.00000e+00
0094 -3.19336e-01  9.99997e-01  9.99996e-01  3.13164e-06  0.00000e+00  0.00000e+00
0095 -3.17383e-01  9.99993e-01  9.99990e-01  8.73236e-06  0.00000e+00  0.00000e+00
0096 -3.15430e-01  9.99980e-01  9.99973e-01  2.31301e-05  0.00000e+00  0.00000e+00
0097 -3.13477e-01  9.99951e-01  9.99931e-01  5.79549e-05  0.00000e+00  0.00000e+00
0098 -3.11523e-01  9.99884e-01  9.99838e-01  1.36786e-04  0.00000e+00  0.00000e+00
0099 -3.09570e-01  9.99744e-01  9.99642e-01  3.02912e-04  0.00000e+00  0.00000e+00
0100 -3.07617e-01  9.99470e-01  9.99258e-01  6.27302e-04  0.00000e+00  0.00000e+00
0101 -3.05664e-01  9.98976e-01  9.98567e-01  1.21217e-03  0.00000e+00  0.00000e+00
0102 -3.03711e-01  9.98155e-01  9.97419e-01  2.18416e-03  0.00000e+00  0.00000e+00
0103 -3.01758e-01  9.96899e-01  9.95661e-01  3.67411e-03  0.00000e+00  0.00000e+00
